bowl,wickets,runs,balls,econ,avg
Sahan Mihira,5,44,40,6.6,8.8
Sahan Nanayakkara,26,446,404,6.62,17.15
Sahan Wijeratne,5,99,68,8.74,19.8
Sahban Khan,1,12,18,4.0,12.0
Sahel Zadran,44,897,803,6.7,20.39
Sahil Chauhan,6,84,78,6.46,14.0
Sahil Dhiwan,0,13,9,8.67,
Sahil Lotra,1,71,67,6.36,71.0
Sahil Patel,6,152,115,7.93,25.33
Sahir Naqash,47,641,545,7.06,13.64
Sai Hla Htwe,3,60,59,6.1,20.0
Sai Kishore,32,669,503,7.98,20.91
Sai Sarthak,12,116,106,6.57,9.67
Saif Ahmad,35,535,577,5.56,15.29
Saif Badar,1,56,41,8.2,56.0
Saif Hassan,11,295,235,7.53,26.82
Saif Zaib,19,583,431,8.12,30.68
Saim Ayub,39,879,743,7.1,22.54
Sairaj Patil,3,129,84,9.21,43.0
Sajad Ahmadzai,12,307,268,6.87,25.58
Sajad Stanikzay,6,217,202,6.45,36.17
Sajedul Islam,1,26,30,5.2,26.0
Sajeewa Weerakoon,3,55,44,7.5,18.33
Sajid Khan,3,177,129,8.23,59.0
Sajid Khan Afridi,1,76,45,10.13,76.0
Sajid Liaqat,24,387,270,8.6,16.12
Sajid Patel,0,1,1,6.0,
Sajid Safi,0,15,6,15.0,
Sajid Watto,2,26,24,6.5,13.0
Sajjad Ali,2,26,26,6.0,13.0
Sajjad Hossain,5,13,19,4.11,2.6
Sakib Hussain,4,47,29,9.72,11.75
Saksham Choudhary,1,24,24,6.0,24.0
Salauddin Sakil,32,647,478,8.12,20.22
Saliya Saman,53,849,683,7.46,16.02
Salman Agha,7,202,148,8.19,28.86
Salman Fayyaz,2,61,40,9.15,30.5
Salman Hossain,0,15,12,7.5,
Salman Irshad,89,2129,1496,8.54,23.92
Salman Mirza,46,690,605,6.84,15.0
Salman Nazar,12,165,147,6.73,13.75
Salman Patel,2,74,47,9.45,37.0
Salman Zaib,0,50,28,10.71,
Salum Jumbe,62,1235,1024,7.24,19.92
Salvin Stanly,5,123,87,8.48,24.6
Sam Conners,13,406,233,10.45,31.23
Sam Cook,111,2738,1938,8.48,24.67
Sam Curran,315,8252,5902,8.39,26.2
Sam Elliott,0,32,25,7.68,
Sam Foster,0,60,30,12.0,
Sam Heazlett,0,15,6,15.0,
Sam Pearce,0,117,68,10.32,
Sam Rainbird,16,610,448,8.17,38.12
Sam Wisniewski,0,32,24,8.0,
Sam Wood,8,286,196,8.76,35.75
Samad Fallah,6,95,74,7.7,15.83
Samader Shadab,3,85,55,9.27,28.33
Samant Jakhar,6,86,64,8.06,14.33
Samar Quadri,0,23,12,11.5,
Samarathunga Rukmal,5,213,194,6.59,42.6
Samarth Bodha,35,669,500,8.03,19.11
Samarth Shetty,3,35,30,7.0,11.67
Samay Shrivastav,5,155,125,7.44,31.0
Samay Shrivastava,8,297,217,8.21,37.12
Sameen Gul,40,1058,769,8.25,26.45
Sameendra Madushan,1,56,36,9.33,56.0
Sameera Maduranga,16,287,241,7.15,17.94
Sameera Pitabeddara,0,34,18,11.33,
Sameera Sadamal,8,153,132,6.95,19.12
Sameera Wanigasekera,1,23,28,4.93,23.0
Sameera Waththage,13,364,309,7.07,28.0
Sami Rahmani,14,235,202,6.98,16.79
Sami Sohail,45,893,735,7.29,19.84
Sami Totakhil,2,45,32,8.44,22.5
Sami Ullah,15,194,186,6.26,12.93
Saminda Fernando,0,9,12,4.5,
Samir Patel,0,22,13,10.15,
Samit Patel,242,6336,5188,7.33,26.18
Samitha Ranga,0,15,16,5.62,
Samitha Rathnasuriya,1,26,18,8.67,26.0
Samiullah,18,459,375,7.34,25.5
Samiullah Khan,3,58,44,7.91,19.33
Samiullah Shinwari,36,978,804,7.3,27.17
Sammar Gajjar,0,14,5,16.8,
Sammu Ashan,20,375,324,6.94,18.75
Sammy Mofokeng,10,249,176,8.49,24.9
Sampath Kharvi,5,61,38,9.63,12.2
Sampath Nishshanka,16,182,165,6.62,11.38
Sampath Perera,20,357,285,7.52,17.85
Samson Awiah,24,341,306,6.69,14.21
Samson Sola,13,297,250,7.13,22.85
Samuel Badree,89,2313,1996,6.95,25.99
Samuel Conteh,36,416,469,5.32,11.56
Samuel Harbinson,11,290,212,8.21,26.36
Samuel Stanislaus,1,30,19,9.47,30.0
Samuela Draunivudi,1,86,58,8.9,86.0
Sana Ullah,2,76,62,7.35,38.0
Sanath Ranjan,6,84,66,7.64,14.0
Sanchit Sharma,1,163,110,8.89,163.0
Sandaken Pathirana,23,391,335,7.0,17.0
Sandaruwan Chinthaka,4,78,69,6.78,19.5
Sandeep Goud,10,308,214,8.64,30.8
Sandeep Lamichhane,239,3664,3417,6.43,15.33
Sandeep Mallidi,0,16,6,16.0,
Sandeep Mohandas,28,722,605,7.16,25.79
Sandeep Nair,2,70,55,7.64,35.0
Sandeep Sharma,140,3761,2921,7.73,26.86
Sandeep Warrier,16,515,404,7.65,32.19
Sandun Abeyawardhana,0,14,14,6.0,
Sandun Dias,1,61,30,12.2,61.0
Sandun Madushanka,11,86,122,4.23,7.82
Sandun Mendis,9,225,197,6.85,25.0
Sandun Weerakkody,10,150,136,6.62,15.0
Sangeeth Cooray,19,314,302,6.24,16.53
Sangeeth Sankalpa,0,68,44,9.27,
Sanitha de Mel,8,228,159,8.6,28.5
Sanjay Krishnamurthi,2,31,36,5.17,15.5
Sanjay Kumar Ahir,3,55,46,7.17,18.33
Sanjay Majumder,1,17,12,8.5,17.0
Sanjay Yadav,1,55,38,8.68,55.0
SanjayKumar Thakor,61,822,932,5.29,13.48
Sanjaya Chathuranga,10,225,185,7.3,22.5
Sanjaya Fernando,0,11,6,11.0,
Sanjaya Ranaweera,19,172,160,6.45,9.05
Sanjeew Coomaraswamy,3,100,53,11.32,33.33
Sanjeewan Priyadarshana,0,10,8,7.5,
Sanjeewan Priyadharshana,3,28,27,6.22,9.33
Sanjika Ridma,15,205,194,6.34,13.67
Sanjit Saha,12,299,229,7.83,24.92
Sanjula Bandara,3,71,79,5.39,23.67
Sanka Ramesh,2,90,45,12.0,45.0
Sankalpa Waduge,3,65,41,9.51,21.67
Sankar Paul,1,56,50,6.72,56.0
Sanoj Darshika,9,85,120,4.25,9.44
Santana Dima,4,118,84,8.43,29.5
Santha Moorthy,5,20,26,4.62,4.0
Santhush Gunathilake,4,114,71,9.63,28.5
Santiago Duggan,6,84,98,5.14,14.0
Santiago Rossi,3,112,94,7.15,37.33
Sanuk Gedara,3,68,51,8.0,22.67
Sanvert Kurkalang,0,13,7,11.14,
Sanvir Singh,5,220,132,10.0,44.0
Sanze Kamate,3,68,61,6.69,22.67
Sapan Mehta,0,9,6,9.0,
Saqib Mahmood,124,2443,1736,8.44,19.7
Saqib Naveed,1,125,63,11.9,125.0
Saqib Zulfiqar,5,113,109,6.22,22.6
Saqlain Arshad,9,146,120,7.3,16.22
Saqlain Sajib,24,573,512,6.71,23.88
Sarabjit Ladda,0,21,12,10.5,
Saran Aslam,2,48,44,6.55,24.0
Saran Maliwan,1,23,25,5.52,23.0
Saranga Rajaguru,26,477,395,7.25,18.35
Saransh Jain,3,50,72,4.17,16.67
Saransh Kushretha,19,267,256,6.26,14.05
Sarawut Maliwan,36,631,608,6.23,17.53
Sareer Shah,4,194,134,8.69,48.5
Sarel Burger,25,518,486,6.4,20.72
Sarel Erwee,3,16,17,5.65,5.33
Sarfaraj Patel,6,148,109,8.15,24.67
Sarfaraz Ahmed,0,6,4,9.0,
Sarfaraz Ali,36,807,696,6.96,22.42
Sarfaraz Khan,0,9,8,6.75,
Sarinda Dassanayake,0,47,30,9.4,
Sarmad Bhatti,0,23,7,19.71,
Sasanka Nirmal,7,85,85,6.0,12.14
Sasika Dilshan,3,80,81,5.93,26.67
Sasith Manuranga,3,45,49,5.51,15.0
Sathaiya Veerapathiran,51,1011,791,7.67,19.82
Sathik Nimalsha,19,333,298,6.7,17.53
Satish Jangir,1,32,18,10.67,32.0
Satsimranjit Dhindsa,2,80,57,8.42,40.0
Satvik Nadigotla,4,69,62,6.68,17.25
Satyajeet Bachhav,9,186,146,7.64,20.67
Satyajit Sengupta,4,169,117,8.67,42.25
Satyam Baliyan,1,42,36,7.0,42.0
Satyanarayana Raju,6,190,121,9.42,31.67
Saud Munir,24,325,317,6.15,13.54
Saud Shakeel,7,187,142,7.9,26.71
Saumani Tiai,30,578,500,6.94,19.27
Saurabh Kumar,6,206,140,8.83,34.33
Saurabh Netravalkar,68,1550,1295,7.18,22.79
Saurabh Shekhar,0,59,39,9.08,
Saurav Chauhan,0,11,6,11.0,
Savin Gunasekara,0,5,6,5.0,
Savindra Amaradasa,0,12,12,6.0,
Savindu Peiris,4,100,89,6.74,25.0
Savith Priyan,6,96,81,7.11,16.0
Saw Aung,1,17,7,14.57,17.0
Sawan Kankanamge,3,118,100,7.08,39.33
Sayan Ghosh,14,164,132,7.45,11.71
Sayed Abdullah,4,76,71,6.42,19.0
Sayed Monib,60,1007,754,8.01,16.78
Sayed Nasratullah,9,249,195,7.66,27.67
Sayed Shirzad,48,1114,865,7.73,23.21
Sazib Bhuiyan,42,645,493,7.85,15.36
Sazzad Hosen,0,22,12,11.0,
Scott Austin,7,81,86,5.65,11.57
Scott Bevin,0,13,10,7.8,
Scott Boland,80,1844,1372,8.06,23.05
Scott Borthwick,50,1335,989,8.1,26.7
Scott Burdekin,15,211,177,7.15,14.07
Scott Crowie,11,128,134,5.73,11.64
Scott Currie,104,1846,1337,8.28,17.75
Scott Elstone,0,21,12,10.5,
Scott Kuggeleijn,117,2915,2132,8.2,24.91
Scott MacBeth,10,341,218,9.39,34.1
Scott Simpson,6,47,51,5.53,7.83
Scott Steel,16,548,460,7.15,34.25
Scott van Breda,0,23,18,7.67,
Sean Abbott,237,4724,3359,8.44,19.93
Sean Davey,14,401,278,8.65,28.64
Sean Dickson,1,9,6,9.0,9.0
Sean Ervine,2,49,31,9.48,24.5
Sean McNicholl,0,29,21,8.29,
Sean Solia,26,865,590,8.8,33.27
Sean Whitehead,5,162,151,6.44,32.4
Sean Williams,76,1781,1563,6.84,23.43
Sebastiaan Braat,9,162,113,8.6,18.0
Sebastian Morgan,2,34,27,7.56,17.0
Seekkuge Prasanna,134,3305,2937,6.75,24.66
Segun Ogundipe,2,45,61,4.43,22.5
Sehan Weerasinghe,16,411,329,7.5,25.69
Sekou Diaby,2,96,99,5.82,48.0
Sekove Ravoka,8,128,122,6.3,16.0
Selladore Vijayakumar,12,204,168,7.29,17.0
Semo Kamea,22,479,426,6.75,21.77
Senal de Silva,5,136,103,7.92,27.2
Senan Jones,1,59,35,10.11,59.0
Senitha Halambage,12,185,160,6.94,15.42
Senuka Dangamuwa,0,33,18,11.0,
Senuran Muthusamy,66,1164,1087,6.43,17.64
Serdar Burak Emir,1,123,60,12.3,123.0
Seru Tupou,10,121,121,6.0,12.1
Sesan Adedeji,7,161,136,7.1,23.0
Sese Bau,14,395,361,6.57,28.21
Seth Rance,44,1013,738,8.24,23.02
Sewvinda Silva,1,53,54,5.89,53.0
Shaaron Lewis,1,58,47,7.4,58.0
Shadab Jakati,2,230,155,8.9,115.0
Shadab Khan,349,7789,6249,7.48,22.32
Shadley van Schalkwyk,89,2037,1471,8.31,22.89
Shadnan Khan,0,11,6,11.0,
Shadrack Descarte,4,119,86,8.3,29.75
Shafat Ali Syed,8,130,110,7.09,16.25
Shafee Saeed,2,53,42,7.57,26.5
Shaffeq Muhammad,0,9,19,2.84,
Shafi Ullah,1,59,46,7.7,59.0
Shafiq Jan,4,111,75,8.88,27.75
Shafiqul Islam,41,804,656,7.35,19.61
Shafiqullah Ghafari,3,200,143,8.39,66.67
Shafiul Islam,91,2134,1580,8.1,23.45
Shafiullah Zakhel,7,127,90,8.47,18.14
Shagharai Sefat,10,153,128,7.17,15.3
Shah Abrar Hussain,16,368,270,8.18,23.0
Shah Faisal,18,475,389,7.33,26.39
Shahab Alam,5,190,121,9.42,38.0
Shahab Khan,6,84,49,10.29,14.0
Shahadat Hossain,11,370,296,7.5,33.64
Shahan Akram,1,10,10,6.0,10.0
Shahbaz Ahmed,31,1203,800,9.02,38.81
Shahbaz Chouhan,1,139,114,7.32,139.0
Shahbaz Nadeem,30,942,709,7.97,31.4
Shaheen Khan,3,83,65,7.66,27.67
Shaheen Shah Afridi,343,6698,5352,7.51,19.53
Shaheryar Butt,0,18,7,15.43,
Shahid Afridi,186,4461,3839,6.97,23.98
Shahid Ahmadzai,1,27,13,12.46,27.0
Shahid Arshad,0,45,21,12.86,
Shahid Aziz,12,195,141,8.3,16.25
Shahid Bhutta,2,115,65,10.62,57.5
Shahid Mahmood,10,381,270,8.47,38.1
Shahidullah,27,712,594,7.19,26.37
Shahil Momin,14,361,335,6.47,25.79
Shahnawaz Dahani,71,1447,1060,8.19,20.38
Shahrukh Quddus,13,330,254,7.8,25.38
Shahzaib,6,72,97,4.45,12.0
Shahzaib Ahmed,1,40,32,7.5,40.0
Shahzeb Choudhry,10,85,110,4.64,8.5
Shaik Basha,8,154,100,9.24,19.25
Shaik Rasheed,0,42,30,8.4,
Shakeel Ahmed,40,1101,989,6.68,27.52
Shakeel Zeb,5,78,67,6.99,15.6
Shakerullah Safi,0,25,18,8.33,
Shakhawat Hossain,1,25,18,8.33,25.0
Shakib Al Hasan,357,7543,6630,6.83,21.13
Shakti Gauchan,7,134,149,5.4,19.14
Shalaka Bandara,2,54,44,7.36,27.0
Shalika Karunanayake,1,128,100,7.68,128.0
Shaluka Silva,0,42,30,8.4,
Sham Murari,4,76,115,3.97,19.0
Shamar Joseph,32,825,592,8.36,25.78
Shamar Springer,38,899,614,8.79,23.66
Shambu Akhil,0,10,13,4.62,
Shameek Vats,3,193,125,9.26,64.33
Shameera Arachchige,2,42,36,7.0,21.0
Shamim Hossain,16,428,331,7.76,26.75
Shaminda Eranga,29,427,358,7.16,14.72
Shams Mulani,21,490,406,7.24,23.33
Shams Ur Rahman,3,75,60,7.5,25.0
Shamsullah Ehsan,3,66,46,8.61,22.0
Shamsur Rahman,1,31,19,9.79,31.0
Shamsurrahman,2,162,112,8.68,81.0
Shan Siddiqui,0,31,28,6.64,
Shanaka Sampath,3,42,18,14.0,14.0
Shanaka Shaninda,12,133,106,7.53,11.08
Shane Burger,0,15,19,4.74,
Shane Dadswell,0,100,65,9.23,
Shane Getkate,51,1038,770,8.09,20.35
Shane Shillingford,15,412,339,7.29,27.47
Shane Snater,55,1608,1035,9.32,29.24
Shane Watson,118,3027,2251,8.07,25.65
Shangeev Thanikaithasan,1,91,70,7.8,91.0
Shannon Gabriel,10,340,263,7.76,34.0
Shantanu Kaveri,9,129,140,5.53,14.33
Shantanu Vashisht,29,519,515,6.05,17.9
Shanuka Dissanayake,4,76,74,6.16,19.0
Shanuka Dulaj,7,61,62,5.9,8.71
Shanuka Madushan,3,42,38,6.63,14.0
Shapoor Zadran,54,1168,927,7.56,21.63
Sharad Vesawkar,0,41,30,8.2,
Sharafuddin Ashraf,93,1905,1620,7.06,20.48
Sharan Ramakrishnan,0,46,28,9.86,
Shardul Thakur,159,4275,2904,8.83,26.89
Sharifullah,21,310,309,6.02,14.76
Sharifullah Ahmadzai,0,24,12,12.0,
Shariq Munir Azam,1,94,67,8.42,94.0
Shariz Ahmad,7,197,153,7.73,28.14
Sharjeel Khan,0,7,4,10.5,
Sharvin Muniandy,52,1137,833,8.19,21.87
Sharwan Godara,26,426,404,6.33,16.38
Shashank Shukla,8,97,114,5.11,12.12
Shashank Singh,3,109,86,7.6,36.33
Shasheem Rathour,0,22,18,7.33,
Shashika Dulshan,15,221,192,6.91,14.73
Shashikant Laxman,14,211,239,5.3,15.07
Shashrika Pussegolla,11,397,328,7.26,36.09
Shaun Fouché,1,61,42,8.71,61.0
Shaun Tait,60,1438,1113,7.75,23.97
Shaun von Berg,52,1069,894,7.17,20.56
Shawn Hicks,0,36,18,12.0,
Shayam Warnakulasuriya,10,177,150,7.08,17.7
Shayan Khan,1,17,13,7.85,17.0
Shaylen Pillay,2,95,60,9.5,47.5
Shean Wijesinghe,5,61,60,6.1,12.2
Shehan Fernando,2,42,41,6.15,21.0
Shehan Hasaranga,1,16,16,6.0,16.0
Shehan Jayasuriya,43,1098,868,7.59,25.53
Shehan Madushanka,15,330,238,8.32,22.0
Shehan Nissanka,3,45,32,8.44,15.0
Shehan Sandaruwan,9,151,113,8.02,16.78
Shehan de Silva,1,72,48,9.0,72.0
Shehzad Azam,13,415,246,10.12,31.92
Sheikh Jubayer Hassan,0,25,20,7.5,
Sheikh Parvez Jibon,12,151,145,6.25,12.58
Sheikh Rasik,8,181,166,6.54,22.62
Shek Antor,0,39,24,9.75,
Sheldon Cottrell,138,3072,2389,7.72,22.26
Sheldon Valjalo,6,126,93,8.13,21.0
Shelton Mazvitorera,4,115,69,10.0,28.75
Shelton Nhavotso,1,40,33,7.27,40.0
Shem Ngoche,109,1879,1852,6.09,17.24
Shen Patel,3,88,55,9.6,29.33
Shenjian Zheng,0,32,7,27.43,
Sher Hasan,2,54,24,13.5,27.0
Sher Sahak,18,247,222,6.68,13.72
Sheraz Sarwari,1,63,64,5.91,63.0
Sheraz Sheikh,20,349,280,7.48,17.45
Sheraz Sirwari,3,61,37,9.89,20.33
Sherfane Rutherford,15,501,349,8.61,33.4
Sherman Vaz,6,67,63,6.38,11.17
Sheshan Fernando,6,221,164,8.09,36.83
Sheshan Silva,4,67,61,6.59,16.75
Sheunopa Musekwa,6,93,91,6.13,15.5
Shifran Muthaliph,2,59,44,8.05,29.5
Shingi Masakadza,29,618,436,8.5,21.31
Shiran Fernando,47,703,579,7.28,14.96
Shiraz Ahmed,0,74,47,9.45,
Shiraz Khan,47,1028,998,6.18,21.87
Shiv Gill,9,274,223,7.37,30.44
Shiv Thakor,28,653,488,8.03,23.32
Shiva Singh,5,192,152,7.58,38.4
Shivam Chaudhary,3,128,98,7.84,42.67
Shivam Dube,41,1192,837,8.54,29.07
Shivam Mavi,45,1181,864,8.2,26.24
Shivam Sharma,18,202,206,5.88,11.22
Shivam Shukla,10,148,118,7.53,14.8
Shivank Vashisht,4,93,90,6.2,23.25
Shivil Kaushik,6,297,210,8.49,49.5
Shiwakumar Tyron,4,104,85,7.34,26.0
Shoaib Ahmed,6,107,115,5.58,17.83
Shoaib Ali,1,23,25,5.52,23.0
Shoaib Bashir,6,146,108,8.11,24.33
Shoaib Laghari,2,29,25,6.96,14.5
Shoaib Malik,88,2429,2116,6.89,27.6
Shoaib Md Khan,2,62,49,7.59,31.0
Shoaib Rafiq,12,132,189,4.19,11.0
Shoaib Siddiqui,9,208,146,8.55,23.11
Shohan Rangika,10,227,193,7.06,22.7
Shohidul Islam,93,1656,1268,7.84,17.81
Shoma Sugaya-Slater,5,134,122,6.59,26.8
Shoriful Islam,177,3909,2917,8.04,22.08
Shreyas Gopal,54,1393,1039,8.04,25.8
Shreyas Iyer,0,9,8,6.75,
Shreyas Swamy,4,53,48,6.62,13.25
Shrikant Mundhe,1,59,37,9.57,59.0
Shrikant Wagh,9,124,108,6.89,13.78
Shubham Agarwal,2,95,66,8.64,47.5
Shubham Kumar Singh,4,61,37,9.89,15.25
Shubham Pradhan,1,56,37,9.08,56.0
Shubham Pundir,0,21,20,6.3,
Shubham Ranjane,5,223,143,9.36,44.6
Shubham Sharma,1,81,79,6.15,81.0
Shubham Tari,1,50,36,8.33,50.0
Shubhang Hegde,1,79,60,7.9,79.0
Shubhranshu Chaudhary,7,180,152,7.11,25.71
Shunan Ali,10,164,155,6.35,16.4
Shuvagata Hom,58,1303,1075,7.27,22.47
Shyamsunder Krishnashriram,7,47,72,3.92,6.71
Shykat Ali,6,262,193,8.15,43.67
Sibonelo Makhanya,5,304,204,8.94,60.8
Sibonelo Mthimkhulu,1,34,55,3.71,34.0
Sibsankar Roy,1,6,12,3.0,6.0
Sidath Priyankara,0,22,19,6.95,
Siddarth Kaul,98,2120,1575,8.08,21.63
Siddhant Lohani,0,21,18,7.0,
Siddharth Bukkapatnam,0,67,45,8.93,
Siddhesh Lad,3,107,103,6.23,35.67
Sidhant Singh,7,216,150,8.64,30.86
Sidharth Sharma,0,26,25,6.24,
Sidue Hunter,0,40,42,5.71,
Sijomon Joseph,2,51,38,8.05,25.5
Sikandar Raza,201,5465,4623,7.09,27.19
Sikander Billah,2,52,46,6.78,26.0
Sikander Zulfiqar,3,79,61,7.77,26.33
Simarjeet Singh,21,558,362,9.25,26.57
Simi Singh,87,1831,1532,7.17,21.05
Simo Ivetic,0,5,8,3.75,
Simon Atai,3,110,93,7.1,36.67
Simon Harmer,158,4141,3181,7.81,26.21
Simon Keen,0,10,6,10.0,
Simon Keene,4,133,114,7.0,33.25
Simon Khomari,3,171,139,7.38,57.0
Simon Milenko,9,207,125,9.94,23.0
Simon Petrus Shikongo,6,87,91,5.74,14.5
Simphiwe Yiba,2,14,19,4.42,7.0
Simpson Obed,13,206,180,6.87,15.85
Simranjeet Kang,3,58,79,4.41,19.33
Simranjeet Singh,13,161,167,5.78,12.38
Sinalo Gobeni,0,29,12,14.5,
Sinan Khan,3,68,47,8.68,22.67
Sineth Jayawardena,3,13,12,6.5,4.33
Sinovuyo Ntuntwana,1,28,20,8.4,28.0
Sintu Majeza,1,41,31,7.94,41.0
Siphamandla Dapo,2,69,49,8.45,34.5
Siphamandla Mavanda,0,14,6,14.0,
Siphesihle Kubheka,0,62,42,8.86,
Siraj Ullah Khadem,14,248,218,6.83,17.71
Siraje Nsubuga,17,294,257,6.86,17.29
Sirajullah Khadim,30,335,395,5.09,11.17
Sisanda Magala,138,2923,2303,7.62,21.18
Sisitha Madanayake,0,31,14,13.29,
Sisonke Mazele,2,32,24,8.0,16.0
Siteri Tabuisulu,4,143,121,7.09,35.75
Sitesh Das,0,15,6,15.0,
Sithembile Langa,10,347,251,8.29,34.7
Sithum Akilanka,2,32,35,5.49,16.0
Sithum Disanayaka,21,261,241,6.5,12.43
Sittipong Hongsi,1,35,20,10.5,35.0
Sivaraj Selvaraj,3,118,110,6.44,39.33
Siviwe Gidana,4,145,107,8.13,36.25
Siya Simetu,14,233,205,6.82,16.64
Siyabonga Booi,2,77,78,5.92,38.5
Siyabonga Mahima,22,502,437,6.89,22.82
Slobodan Tosic,8,259,146,10.64,32.38
Smangaliso Nhlebela,10,206,171,7.23,20.6
Smijo Vithayathil,2,8,18,2.67,4.0
Smit Patel,6,102,87,7.03,17.0
Soaeb Tai,5,89,68,7.85,17.8
Sohag Gazi,54,1585,1336,7.12,29.35
Sohaib Maqsood,0,30,18,10.0,
Sohaibullah,8,247,221,6.71,30.88
Sohail Ahmad,3,135,73,11.1,45.0
Sohail Ahmed,4,155,118,7.88,38.75
Sohail Akhtar,3,236,150,9.44,78.67
Sohail Khan,95,2418,1823,7.96,25.45
Sohail Mahmoud,8,305,211,8.67,38.12
Sohail Rocket,11,295,253,7.0,26.82
Sohail Tanvir,213,5224,4345,7.21,24.53
Sohel Patel,6,89,94,5.68,14.83
Sohel Rana,0,39,28,8.36,
Sohrab Khan,0,45,37,7.3,
Sohrawordi Shuvo,13,429,354,7.27,33.0
Sol Budinger,2,21,25,5.04,10.5
Solo Nqweni,27,506,408,7.44,18.74
Solomon Mire,11,239,180,7.97,21.73
Solomon Nash,16,380,298,7.65,23.75
Solomon Williams,10,306,280,6.56,30.6
Somila Seyibokwe,0,15,7,12.86,
Sompal Kami,99,1985,1751,6.8,20.05
Sonal Dinusha,9,184,162,6.81,20.44
Sonam Tobgay,0,50,24,12.5,
Sonam Yeshey,21,490,487,6.04,23.33
Sonam Yeshi,1,69,65,6.37,69.0
Sonny Baker,26,684,492,8.34,26.31
Sonny Clephane,0,30,17,10.59,
Sonu Yadav,9,142,122,6.98,15.78
Sooraj Kollery,0,15,12,7.5,
Sorawat Desungnoen,13,361,314,6.9,27.77
Sosiceni Weleilakeba,0,33,20,9.9,
Soumya Sarkar,48,1526,1053,8.7,31.79
Sourabh Majumdar,1,67,74,5.43,67.0
Sourav Dey,1,54,50,6.48,54.0
Soyeb Pendi,16,184,209,5.28,11.5
Soyeb Sopariya,4,126,114,6.63,31.5
Spencer Clarke,0,11,7,9.43,
Spencer Johnson,87,1949,1547,7.56,22.4
Spiridon Gasteratos,7,51,62,4.94,7.29
Spyridon Goustis,1,0,6,0.0,0.0
Spyridon Vasilakis,3,71,64,6.66,23.67
Sreenath Aravind,30,673,516,7.83,22.43
Sreesanth,3,155,94,9.89,51.67
Srinivasan Elayaperumal,0,11,6,11.0,
Stefan Franklin,0,37,31,7.16,
Stefan Nerandzic,0,26,18,8.67,
Stefan Tait,0,87,50,10.44,
Stefano di Bartolomeo,14,128,149,5.15,9.14
Steffan Gooch,23,363,309,7.05,15.78
Steffan Piolet,1,65,51,7.65,65.0
Stephan Baard,0,9,7,7.71,
Stephan Grobler,3,87,61,8.56,29.0
Stephan Myburgh,0,12,6,12.0,
Stephen Biko,1,33,36,5.5,33.0
Stephen Madusanka,7,203,117,10.41,29.0
Stephen Parry,53,1265,1033,7.35,23.87
Stephen Susa,1,7,13,3.23,7.0
Stephen Wiig,4,70,50,8.4,17.5
Steve Chimhamhiwa,3,62,35,10.63,20.67
Steve Magoffin,3,74,42,10.57,24.67
Steve O'Keefe,83,1744,1625,6.44,21.01
Steve Vijay Lazars,4,51,55,5.56,12.75
Steven Croft,40,1023,867,7.08,25.58
Steven Crook,18,774,510,9.11,43.0
Steven Finn,126,2637,1888,8.38,20.93
Steven Jacobs,15,494,415,7.14,32.93
Steven Kruger,0,25,24,6.25,
Steven McGiffin,0,23,13,10.62,
Steven Mullaney,91,2265,1731,7.85,24.89
Steven Patterson,37,962,742,7.78,26.0
Steven Smith,3,64,42,9.14,21.33
Steven Taylor,12,388,357,6.52,32.33
Stiaan van Zyl,4,109,66,9.91,27.25
Stuart Binny,19,492,378,7.81,25.89
Stuart Broad,10,281,224,7.53,28.1
Stuart Meaker,6,175,135,7.78,29.17
Stuart Thompson,33,956,734,7.81,28.97
Stuart Whittingham,4,79,64,7.41,19.75
Subashis Roy,15,572,428,8.02,38.13
Subham Ghosh,2,47,42,6.71,23.5
Subhanu Rajapaksa,0,9,6,9.0,
Suboth Bhati,13,173,150,6.92,13.31
Subroto Shekhar,0,49,31,9.48,
Sudara Dakshina,8,123,120,6.15,15.38
Sudarshana Fernando,2,49,52,5.65,24.5
Sudeep Thakur,3,102,75,8.16,34.0
Sudeep Tyagi,0,21,14,9.0,
Sudesh Pillai,8,168,205,4.92,21.0
Sudesh Wickramasekara,23,467,394,7.11,20.3
Sudhakar Jegannathan,7,116,118,5.9,16.57
Sudhakar Koppolu,6,333,206,9.7,55.5
Sudheera Weeraratne,0,23,12,11.5,
Sudhesan Midhun,2,91,74,7.38,45.5
Sufiyan Muqeem,40,731,645,6.8,18.27
Sufyan Mehmood,22,464,372,7.48,21.09
Suhail Sattar,4,127,92,8.28,31.75
Suhail Vayani,30,768,664,6.94,25.6
Suhanga Wijewardana,0,31,19,9.79,
Suhrid Roy,0,19,14,8.14,
Sujan Mayura,6,158,147,6.45,26.33
Sujit Nayak,1,15,30,3.0,15.0
Sujon Hawlader,12,290,203,8.57,24.17
Sukhjinder Singh,3,69,78,5.31,23.0
Sukhkaran Sahi,1,54,34,9.53,54.0
Sulaiman Ali,13,358,238,9.03,27.54
Sulaiman Tarawally,2,118,119,5.95,59.0
Sulaimon Runsewe,3,49,40,7.35,16.33
Sulieman Benn,19,630,497,7.61,33.16
Suliman Safi,2,66,43,9.21,33.0
Sultan Ahmed,33,622,626,5.96,18.85
Sultan Karim,1,28,16,10.5,28.0
Suman Ghimire,2,69,51,8.12,34.5
Sumedha Dissanayake,5,86,76,6.79,17.2
Sumeet Lahiri,0,16,14,6.86,
Sumeet Verma,0,14,12,7.0,
