year,bat,runs,balls,sr
2022,Alzarri Joseph,142,188,75.53
2022,Anamul Haque,202,203,99.51
2022,Andy Balbirnie,82,121,67.77
2022,Andy McBrine,221,321,68.85
2022,Arjun Saud,125,259,48.26
2022,Aryan Dutt,37,79,46.84
2022,Aryan Lakra,96,134,71.64
2022,Asif Khan,115,171,67.25
2022,Assad Vala,649,928,69.94
2022,Axar Patel,167,140,119.29
2022,Ayaan Khan,416,546,76.19
2022,Babar Azam,679,748,90.78
2022,Bas de Leede,386,622,62.06
2022,Basil Hameed,420,558,75.27
2022,Ben McDermott,195,228,85.53
2022,Ben Stokes,53,64,82.81
2022,Bernard Scholtz,101,161,62.73
2022,Binod Bhandari,50,108,46.3
2022,Boris Gorlee,29,55,52.73
2022,Brad Evans,81,105,77.14
2022,Brandon King,334,424,78.77
2022,Brandon McMullen,119,142,83.8
2022,CP Rizwan,475,757,62.75
2022,Calum MacLeod,736,893,82.42
2022,Cameron Green,269,294,91.5
2022,Cameron Stevenson,79,120,65.83
2022,Chad Soper,218,398,54.77
2022,Chamika Karunaratne,176,182,96.7
2022,Charith Asalanka,426,449,94.88
2022,Charles Amini,475,746,63.67
2022,Chirag Suri,586,856,68.46
2022,Chris Greaves,179,210,85.24
2022,Christopher McBride,145,206,70.39
2022,Colin Ackermann,96,117,82.05
2022,Craig Ervine,162,212,76.42
2022,Craig Overton,50,58,86.21
2022,Craig Wallace,92,103,89.32
2022,Craig Williams,146,233,62.66
2022,Curtis Campher,102,151,67.55
2022,Danushka Gunathilaka,81,97,83.51
2022,Darren Bravo,38,67,56.72
2022,Daryl Mitchell,261,309,84.47
2022,Dasun Shanaka,231,256,90.23
2022,David Miller,289,260,111.15
2022,David Warner,552,596,92.62
2022,David Wiese,228,254,89.76
2022,David Willey,153,166,92.17
2022,Dawid Malan,297,296,100.34
2022,Deepak Chahar,116,103,112.62
2022,Deepak Hooda,153,189,80.95
2022,Dev Khanal,253,390,64.87
2022,Devon Conway,200,302,66.23
2022,Dhananjaya de Silva,147,163,90.18
2022,Dinesh Chandimal,147,175,84.0
2022,Dipendra Singh Airee,338,509,66.4
2022,Divan la Cock,313,467,67.02
2022,Doug Bracewell,63,60,105.0
2022,Dunith Wellalage,74,93,79.57
2022,Dwaine Pretorius,57,79,72.15
2022,Dylan Budge,84,108,77.78
2022,Fabian Allen,42,66,63.64
2022,Fakhar Zaman,303,352,86.08
2022,Fayyaz Butt,47,53,88.68
2022,Finn Allen,387,410,94.39
2022,Gajanand Singh,532,646,82.35
2022,Gavin Main,69,76,90.79
2022,George Dockrell,156,135,115.56
2022,George Munsey,565,695,81.29
2022,Gerhard Erasmus,956,1220,78.36
2022,Glenn Maxwell,252,211,119.43
2022,Glenn Phillips,157,163,96.32
2022,Gulbadin Naib,71,92,77.17
2022,Gulsan Jha,110,160,68.75
2022,Gyanendra Malla,291,455,63.96
2022,Hamza Tahir,26,76,34.21
2022,Hardik Pandya,100,99,101.01
2022,Harry Tector,384,467,82.23
2022,Hashmatullah Shahidi,351,503,69.78
2022,Hayden Walsh,29,60,48.33
2022,Hazrat Bilal,21,56,37.5
2022,Heinrich Klaasen,183,183,100.0
2022,Henry Nicholls,181,211,85.78
2022,Hiri Hiri,169,337,50.15
2022,Ian Holland,124,156,79.49
2022,Ibrahim Zadran,431,488,88.32
2022,Imam-ul-Haq,505,533,94.75
2022,Innocent Kaia,290,448,64.73
2022,Ish Sodhi,56,65,86.15
2022,Ishan Kishan,417,380,109.74
2022,JJ Smit,356,421,84.56
2022,James Neesham,89,72,123.61
2022,James Vince,87,123,70.73
2022,Jan Frylinck,257,308,83.44
2022,Jan Nicol Loftie-Eaton,532,705,75.46
2022,Janneman Malan,297,431,68.91
2022,Jasdeep Singh,25,54,46.3
2022,Jaskaran Malhotra,116,140,82.86
2022,Jason Holder,148,223,66.37
2022,Jason Roy,335,357,93.84
2022,Jatinder Singh,653,821,79.54
2022,Joe Root,98,106,92.45
2022,Jonny Bairstow,136,159,85.53
2022,Jos Buttler,403,328,122.87
2022,Justin Greaves,29,85,34.12
2022,KL Rahul,251,313,80.19
2022,Kabua Morea,47,73,64.38
2022,Kamindu Mendis,85,126,67.46
2022,Kane Williamson,217,336,64.58
2022,Karan KC,85,113,75.22
2022,Kashif Daud,262,287,91.29
2022,Kashyap Prajapati,509,694,73.34
2022,Keacy Carty,145,253,57.31
2022,Keshav Maharaj,63,75,84.0
2022,Khawar Ali,359,576,62.33
2022,Khushdil Shah,166,162,102.47
2022,Kieron Pollard,73,90,81.11
2022,Kiplin Doriga,105,194,54.12
2022,Kusal Mendis,388,432,89.81
2022,Kushal Bhurtel,298,441,67.57
2022,Kyle Coetzer,520,702,74.07
2022,Kyle Mayers,435,456,95.39
2022,Kyle Verreynne,88,118,74.58
2022,Lalit Rajbanshi,31,77,40.26
2022,Lega Siaka,310,432,71.76
2022,Liam Dawson,49,57,85.96
2022,Liam Livingstone,178,140,127.14
2022,Litton Das,577,694,83.14
2022,Lo-handre Louwrens,342,577,59.27
2022,Logan van Beek,173,212,81.6
2022,Lorcan Tucker,68,91,74.73
2022,Luke Jongwe,76,105,72.38
2022,Mahmudullah,410,592,69.26
